"ID","TimeStart","TimeEnd","Duration","LAeq","SEL","LAeq_Lmax","LAFmax","LCpeak","Onset","Threshold"
"AdmB",2019-06-24 17:54:26,2019-06-24 17:55:11,45,81.1,97.7,91,92.5,107.2,1.1,50
"AdmB",2019-06-24 17:55:11,2019-06-24 17:55:52,41,91.1,107.4,103.6,106.3,119.3,2.1,50
"AdmB",2019-06-24 17:55:52,2019-06-24 17:57:29,97,89.2,109.1,103,104,120.1,0.8,50
"AdmB",2019-06-24 17:57:29,2019-06-24 17:58:39,70,94.6,113.1,109.9,111.5,127.7,1.2,50
"AdmB",2019-06-24 17:58:39,2019-06-24 18:00:04,85,91.9,111.2,106.9,109.6,122.8,0.9,50
"AdmB",2019-06-24 18:00:04,2019-06-24 18:01:13,69,96.5,114.9,111.4,113.9,129.3,1.2,50
"AdmB",2019-06-24 18:01:13,2019-06-24 18:02:44,91,89.8,109.5,104.5,105.6,117.9,0.8,50
"AdmB",2019-06-24 18:02:44,2019-06-24 18:03:43,59,91.4,109.2,101.7,103,118.6,1,50
"AdmB",2019-06-24 18:03:43,2019-06-24 18:05:27,104,96.8,117,115,116.6,130.5,0.7,50
"AdmB",2019-06-24 18:05:27,2019-06-24 18:06:17,50,93.5,110.5,104.5,105.9,120.9,1.2,50
"AdmB",2019-06-24 18:06:17,2019-06-24 18:07:09,52,83,100.2,94.6,96.7,108.4,1,50
"AdmB",2019-06-24 18:07:09,2019-06-24 18:08:14,65,95.1,113.3,108.5,111,126.8,1,50
"AdmB",2019-06-24 18:08:14,2019-06-24 18:08:49,35,96.5,112.1,108,109.1,122.5,1.9,50
"AdmB",2019-06-24 18:08:49,2019-06-24 18:09:35,46,100.3,117.1,113.5,114.7,128.4,1.2,50
"AdmB",2019-06-24 18:09:35,2019-06-24 18:11:08,93,88.7,108.5,103.5,104.8,117.6,0.6,50
"AdmB",2019-06-24 18:11:08,2019-06-24 18:11:54,46,96.4,113.1,109.6,111.4,124.8,2.2,50
"AdmB",2019-06-24 18:11:54,2019-06-24 18:12:59,65,98.6,116.8,114,114.7,131.3,1.3,50
"AdmB",2019-06-24 18:12:59,2019-06-24 18:13:44,45,96.4,113,107.7,108.9,122.9,1.5,50
"AdmB",2019-06-24 18:13:44,2019-06-24 18:14:43,59,96.3,114,109.5,110.7,124.8,1.3,50
"AdmB",2019-06-24 18:14:43,2019-06-24 18:15:51,68,96.8,115.2,110.3,111.7,126,1.2,50
"AdmB",2019-06-24 18:15:51,2019-06-24 18:17:16,85,93.8,113.2,109.8,110.4,123.9,1.7,50
"AdmB",2019-06-24 18:17:16,2019-06-24 18:19:32,136,95.3,116.7,112.5,114.1,127.8,1.1,50
"AdmB",2019-06-24 18:19:39,2019-06-24 18:19:51,12,51.3,62.4,57.4,59.7,75.6,1.4,50
"AdmB",2019-06-24 18:19:58,2019-06-24 18:22:11,133,95.7,117,114.6,116,130.5,1.1,50
"AdmB",2019-06-24 18:22:14,2019-06-24 18:22:26,12,51.7,62.9,55.6,58.3,77.3,0.9,50
"AdmB",2019-06-24 18:22:31,2019-06-24 18:22:37,6,48.6,57,50.9,53.1,72.5,0.2,50
"AdmB",2019-06-24 18:22:39,2019-06-24 18:24:14,95,93.9,113.7,109.5,110.7,125,1.2,50
"AdmB",2019-06-24 18:24:14,2019-06-24 18:25:09,55,64,81.5,72.6,74.7,92.8,0.6,50
"AdmB",2019-06-24 18:25:19,2019-06-24 18:27:41,142,92.1,113.6,108.5,109.8,124.8,1,50
"AdmB",2019-06-24 18:27:49,2019-06-24 18:27:59,10,52.5,62.9,56.9,59.3,73,1.4,50
"AdmB",2019-06-24 18:28:01,2019-06-24 18:30:03,122,93.7,114.6,110,110.7,124.9,1.1,50
"AdmB",2019-06-24 18:42:15,2019-06-24 18:42:36,21,51.2,64.6,54.9,57.8,74.4,0.5,50
"AdmB",2019-06-24 21:01:19,2019-06-24 21:02:01,42,54.1,70.5,58.9,59.5,80.3,0.3,50
"AdmB",2019-06-24 21:16:03,2019-06-24 21:16:15,12,53.3,64.4,60.4,62.4,80.3,2.6,50
"AdmB",2019-06-24 21:40:40,2019-06-24 21:40:49,9,50.3,60.3,52.8,53.9,71.6,0,50
"AdmB",2019-06-24 21:40:58,2019-06-24 21:41:44,46,83.5,100.2,94.6,96.7,111.9,2.2,50
"AdmB",2019-06-24 21:41:57,2019-06-24 21:42:39,42,82.2,98.5,95.9,100,114,2.3,50
"AdmB",2019-06-24 21:42:39,2019-06-24 21:44:00,81,85.9,105,100.5,102.7,114.5,0.7,50
"AdmB",2019-06-24 21:44:00,2019-06-24 21:45:24,84,84.9,104.2,99.7,100.7,113.6,0.9,50
"AdmB",2019-06-24 21:45:24,2019-06-24 21:46:39,75,87.7,106.5,101.1,103.9,117.8,0.6,50
