"Time","Field"
2020-12-16 17:42:00,"Ault"
2020-12-16 17:44:00,"Ault"
2020-12-16 17:46:00,"Ault"
2020-12-16 17:48:00,"Ault"
2020-12-16 17:51:00,"Ault"
2020-12-16 18:01:00,"Ault"
2020-12-16 18:02:00,"Ault"
2020-12-16 18:02:00,"Ault"
2020-12-16 18:12:00,"Ault"
2020-12-16 18:15:00,"Ault"
2020-12-16 18:19:00,"Ault"
2020-12-16 18:23:00,"Ault"
2020-12-16 18:41:00,"Ault"
2020-12-16 18:43:00,"Ault"
2020-12-16 18:55:00,"Ault"
2020-12-16 19:01:00,"Ault"
2020-12-16 19:02:00,"Ault"
2020-12-16 19:06:00,"Ault"
2020-12-16 19:08:00,"Ault"
2020-12-16 19:09:00,"Ault"
2020-12-16 19:09:00,"Ault"
2020-12-16 19:12:00,"Ault"
2020-12-16 19:12:00,"Ault"
2020-12-16 19:16:00,"Ault"
2020-12-16 19:19:00,"Ault"
2020-12-16 19:20:00,"Ault"
2020-12-16 19:24:00,"Ault"
2020-12-16 19:28:00,"Ault"
2020-12-16 19:29:00,"Ault"
2020-12-16 19:30:00,"Ault"
2020-12-16 19:33:00,"Ault"
2020-12-16 19:35:00,"Ault"
2020-12-16 19:42:00,"Ault"
2020-12-16 19:44:00,"Ault"
2020-12-16 19:59:00,"Ault"
2020-12-16 20:28:00,"Ault"
2020-12-16 20:36:00,"Ault"
2020-12-16 20:51:00,"Ault"
2020-12-16 20:54:00,"Ault"
2020-12-16 20:59:00,"Ault"
2020-12-16 21:01:00,"Ault"
2020-12-16 21:09:00,"Ault"
2020-12-16 21:21:00,"Ault"
2020-12-17 06:55:00,"Ault"
2020-12-17 07:07:00,"Ault"
2020-12-17 08:04:00,"Ault"
2020-12-17 08:49:00,"Ault"
2020-12-17 09:04:00,"Ault"
2020-12-17 09:05:00,"Ault"
2020-12-17 09:07:00,"Ault"
2020-12-17 09:11:00,"Ault"
2020-12-17 09:12:00,"Ault"
2020-12-17 09:16:00,"Ault"
2020-12-17 09:16:00,"Ault"
2020-12-17 09:29:00,"Ault"
2020-12-17 09:37:00,"Ault"
2020-12-17 09:40:00,"Ault"
2020-12-17 09:42:00,"Ault"
2020-12-17 10:02:00,"Ault"
2020-12-17 10:23:00,"Ault"
2020-12-17 10:26:00,"Ault"
2020-12-17 10:27:00,"Ault"
2020-12-17 10:29:00,"Ault"
2020-12-17 10:29:00,"Ault"
2020-12-17 10:34:00,"Ault"
2020-12-17 10:37:00,"Ault"
2020-12-17 10:41:00,"Ault"
2020-12-17 10:42:00,"Ault"
2020-12-17 11:08:00,"Ault"
2020-12-17 11:13:00,"Ault"
2020-12-17 11:24:00,"Ault"
2020-12-17 11:30:00,"Ault"
2020-12-17 11:31:00,"Ault"
2020-12-17 11:33:00,"Ault"
2020-12-17 11:35:00,"Ault"
2020-12-17 11:35:00,"Ault"
2020-12-17 11:49:00,"Ault"
2020-12-17 11:56:00,"Ault"
2020-12-17 11:58:00,"Ault"
2020-12-17 11:58:00,"Ault"
2020-12-17 12:01:00,"Ault"
2020-12-17 12:04:00,"Ault"
2020-12-17 12:09:00,"Ault"
2020-12-17 12:11:00,"Ault"
2020-12-17 12:13:00,"Ault"
2020-12-17 12:16:00,"Ault"
2020-12-17 12:16:00,"Ault"
2020-12-17 12:17:00,"Ault"
2020-12-17 12:18:00,"Ault"
2020-12-17 12:20:00,"Ault"
2020-12-17 12:23:00,"Ault"
2020-12-17 12:30:00,"Ault"
2020-12-17 12:30:00,"Ault"
2020-12-17 12:42:00,"Ault"
2020-12-17 12:48:00,"Ault"
2020-12-17 12:53:00,"Ault"
2020-12-17 12:56:00,"Ault"
2020-12-17 13:00:00,"Ault"
2020-12-17 13:04:00,"Ault"
2020-12-17 13:04:00,"Ault"
2020-12-17 13:06:00,"Ault"
2020-12-17 13:09:00,"Ault"
2020-12-17 13:09:00,"Ault"
2020-12-17 13:12:00,"Ault"
2020-12-17 13:12:00,"Ault"
2020-12-17 13:17:00,"Ault"
2020-12-17 13:35:00,"Ault"
2020-12-17 13:36:00,"Ault"
2020-12-17 13:42:00,"Ault"
2020-12-17 13:49:00,"Ault"
2020-12-17 13:52:00,"Ault"
2020-12-17 13:52:00,"Ault"
2020-12-17 13:58:00,"Ault"
2020-12-17 14:10:00,"Ault"
2020-12-17 14:12:00,"Ault"
2020-12-17 14:14:00,"Ault"
2020-12-17 14:14:00,"Ault"
2020-12-17 14:18:00,"Ault"
2020-12-17 14:22:00,"Ault"
2020-12-17 15:06:00,"Ault"
2020-12-17 15:08:00,"Ault"
2020-12-17 15:09:00,"Ault"
2020-12-17 15:39:00,"Ault"
2020-12-17 15:44:00,"Ault"
2020-12-17 15:55:00,"Ault"
2020-12-17 15:55:00,"Ault"
2020-12-17 15:56:00,"Ault"
2020-12-17 15:58:00,"Ault"
2020-12-17 15:59:00,"Ault"
2020-12-17 16:03:00,"Ault"
2020-12-17 16:05:00,"Ault"
2020-12-17 16:07:00,"Ault"
